Step,Success
2048,0.071428571
4096,
12288,0.066666667
22528,0.0625
24576,
32768,0
43008,0
45056,
53248,0.066666667
63488,0
65536,
73728,0.066666667
83968,0
86016,
94208,0
104448,0
106496,
114688,0
124928,0.133333333
126976,
135168,0
145408,0
147456,
155648,0.222222222
165888,0.0625
167936,
176128,0.071428571
186368,0.071428571
188416,
196608,0.0625
206848,0.066666667
208896,
217088,0.1875
227328,0.066666667
229376,
237568,0
247808,0.066666667
249856,
258048,0.066666667
268288,0
270336,
278528,0
288768,0.133333333
290816,
299008,0
309248,0.066666667
311296,
319488,0.266666667
329728,0.066666667
331776,
339968,0
350208,0.066666667
352256,
360448,0.071428571
370688,0.133333333
372736,
380928,0.125
391168,0.0625
393216,
401408,0.2
411648,0.066666667
413696,
421888,0.133333333
432128,0.470588235
434176,
442368,0.333333333
452608,0.133333333
454656,
462848,0.466666667
473088,0.375
475136,
483328,0.266666667
493568,0.4375
495616,
503808,0.2
514048,0.588235294
516096,
524288,0.375
534528,0.375
536576,
544768,0.333333333
555008,0.375
557056,
565248,0.588235294
575488,0.3125
577536,
585728,0.411764706
595968,0.529411765
598016,
606208,0.4375
616448,0.375
618496,
626688,0.470588235
636928,0.375
638976,
647168,0.4375
657408,0.75
659456,
667648,0.466666667
677888,0.5
679936,
688128,0.333333333
698368,0.4375
700416,
708608,0.4375
718848,0.75
720896,
729088,0.6
739328,0.6
741376,
749568,0.6875
759808,0.8125
761856,
770048,0.875
780288,0.8
782336,
790528,0.733333333
800768,0.733333333
802816,
811008,0.625
821248,0.75
823296,
831488,0.625
841728,0.764705882
843776,
851968,0.823529412
862208,0.764705882
864256,
872448,0.75
882688,0.529411765
884736,
892928,0.75
903168,0.631578947
905216,
913408,0.6875
923648,0.647058824
925696,
933888,0.588235294
944128,0.5625
946176,
954368,0.588235294
964608,0.529411765
966656,
974848,0.705882353
985088,0.5
987136,
995328,0.941176471
1005568,0.5
1007616,
1015808,0.6875
1026048,0.625
1028096,
1036288,0.625
1046528,0.588235294
1048576,
1056768,0.823529412
1067008,0.625
1069056,
1077248,0.777777778
1087488,0.533333333
1089536,
1097728,0.5
1107968,0.764705882
1110016,
1118208,0.7
1128448,0.823529412
1130496,
1138688,0.8125
1148928,0.470588235
1150976,
1159168,0.5625
1169408,0.888888889
1171456,
1179648,0.941176471
1189888,0.875
1191936,
1200128,0.888888889
1210368,0.823529412
1212416,
1220608,0.75
1230848,0.947368421
1232896,
1241088,0.882352941
1251328,0.888888889
1253376,
1261568,0.823529412
1271808,0.722222222
1273856,
1282048,0.888888889
1292288,0.823529412
1294336,
1302528,0.764705882
1312768,0.894736842
1314816,
1323008,0.588235294
1333248,0.75
1335296,
1343488,0.8125
1353728,0.647058824
1355776,
1363968,0.941176471
1374208,0.833333333
1376256,
1384448,0.952380952
1394688,0.647058824
1396736,
1404928,0.705882353
1415168,0.777777778
1417216,
1425408,0.8
1435648,1
1437696,
1445888,0.952380952
1456128,0.736842105
1458176,
1466368,0.9
1476608,0.952380952
1478656,
1486848,0.9
1497088,0.95
1499136,
1507328,0.842105263
1517568,0.833333333
1519616,
1527808,0.842105263
1538048,0.777777778
1540096,
1548288,0.789473684
1558528,0.80952381
1560576,
1568768,1
1579008,0.85
1581056,
1589248,1
1599488,1
1601536,
1609728,0.954545455
1619968,0.842105263
1622016,
1630208,0.789473684
1640448,0.95
1642496,
1650688,0.954545455
1660928,0.904761905
1662976,
1671168,1
1681408,0.8
1683456,
1691648,0.909090909
1701888,0.9
1703936,
1712128,1
1722368,1
1724416,
1732608,0.956521739
1742848,0.857142857
1744896,
1765376,
